id,theme,question
1,指定ごみ袋,指定ごみ袋は必ず使わないといけませんか？
2,指定ごみ袋,指定袋じゃない袋で出してもいいですか？
3,指定ごみ袋,レジ袋でごみを出すことはできますか？
4,指定ごみ袋,スーパーの袋はごみ袋として使えますか？
5,指定ごみ袋,指定ごみ袋がないときはどうすればいいですか？
6,指定ごみ袋,指定ごみ袋は何種類ありますか？
7,指定ごみ袋,指定ごみ袋のサイズにはどんなものがありますか？
8,指定ごみ袋,指定ごみ袋の口は縛る必要がありますか？
9,指定ごみ袋,指定袋を二重にして出してもいいですか？
10,指定ごみ袋,指定ごみ袋を使わずに出すと回収されませんか？
11,出すタイミング,ごみは朝何時までに出せばいいですか？
12,出すタイミング,前日の夜にごみを出してもいいですか？
13,出すタイミング,雨の日でもごみは出しますか？
14,出すタイミング,台風の日はごみ収集はありますか？
15,出すタイミング,祝日でもごみ収集は行われますか？
16,出すタイミング,年末年始のごみ収集はどうなりますか？
17,出すタイミング,収集日に出し忘れた場合はどうすればいいですか？
18,出すタイミング,朝遅れて出したごみは回収されますか？
19,出すタイミング,収集日以外にごみを出すことはできますか？
20,出すタイミング,その日の朝に間に合わなかった場合の対応を教えてください
21,分別が難しいもの,スプレー缶は何ごみですか？
22,分別が難しいもの,カセットボンベはどうやって捨てますか？
23,分別が難しいもの,傘は何ごみに分ければいいですか？
24,分別が難しいもの,鍋やフライパンは何ごみになりますか？
25,分別が難しいもの,割れたガラスはどうやって出せばいいですか？
26,分別が難しいもの,CDやDVDは何ごみですか？
27,分別が難しいもの,プラスチック製のおもちゃは何ごみですか？
28,分別が難しいもの,金属とプラスチックが混ざったものはどう分別しますか？
29,分別が難しいもの,小さな家電は何ごみですか？
30,分別が難しいもの,ハンガーは何ごみに出せばいいですか？
31,電池・危険物,乾電池は何ごみですか？
32,電池・危険物,ボタン電池はどうやって捨てますか？
33,電池・危険物,モバイルバッテリーは何ごみになりますか？
34,電池・危険物,リチウムイオン電池はどう処分すればいいですか？
35,電池・危険物,充電式電池は不燃ごみに出していいですか？
36,電池・危険物,電池の端子はテープで絶縁する必要がありますか？
37,電池・危険物,使い終わった電池は袋にまとめて出していいですか？
38,電池・危険物,電池が膨らんでいる場合はどうすればいいですか？
39,電池・危険物,壊れたモバイルバッテリーは捨てられますか？
40,電池・危険物,電池類を間違って出すと危険ですか？
41,プラスチック,プラスチックごみは洗う必要がありますか？
42,プラスチック,汚れたプラスチックはどう分別しますか？
43,プラスチック,コンビニ弁当の容器は何ごみですか？
44,プラスチック,発泡スチロールは何ごみになりますか？
45,プラスチック,ペットボトルのラベルは剥がす必要がありますか？
46,プラスチック,ペットボトルのキャップはどうしますか？
